     0.0010   Re               ! Reynolds number in millions
    170.00   -0.372   0.1809  -0.5000
    180.00    0.000   0.1409   0.0000
     0.0500   Re               ! Reynolds number in millions
   -180.00    0.000   0.1278   0.0000
   -170.00    0.391   0.1680   0.4000
   -160.00    0.782   0.2836  -0.0681
   -150.00    0.696   0.4602  -0.0079
   -140.00    0.647   0.6755   0.0402
   -130.00    0.580   0.9025   0.0890
   -120.00    0.476   1.1124   0.1375
   -110.00    0.337   1.2782   0.1815
   -100.00    0.173   1.3780   0.2159
    -90.00    0.000   1.3980   0.2360
    -80.00   -0.173   1.3780   0.2507
    -70.00   -0.337   1.2782   0.2497
    -60.00   -0.476   1.1124   0.2362
    -50.00   -0.580   0.9025   0.2160
    -40.00   -0.647   0.6755   0.1979
    -30.00   -0.696   0.4602   0.1972
    -20.00   -0.782   0.2836   0.2572
    -10.00   -0.353   0.1107  -0.0474
     -9.50   -0.361   0.1034  -0.0485
     -9.00   -0.374   0.0956  -0.0495
     -8.50   -0.395   0.0874  -0.0506
     -8.00   -0.417   0.0775  -0.0562
     -7.50   -0.414   0.0638  -0.0747
     -7.00   -0.387   0.0528  -0.0887
     -6.50   -0.337   0.0445  -0.0970
     -6.00   -0.283   0.0393  -0.1005
     -5.50   -0.230   0.0359  -0.0999
     -5.00   -0.180   0.0330  -0.0974
     -4.50   -0.125   0.0306  -0.0988
     -4.00   -0.040   0.0271  -0.1099
     -3.50    0.038   0.0258  -0.1169
     -2.50    0.170   0.0264  -0.1195
     -2.00    0.231   0.0260  -0.1214
     -1.50    0.301   0.0255  -0.1249
     -1.00    0.367   0.0252  -0.1277
     -0.50    0.427   0.0251  -0.1295
      0.00    0.495   0.0250  -0.1324
      0.50    0.561   0.0250  -0.1351
      1.00    0.617   0.0253  -0.1363
      1.50    0.680   0.0256  -0.1386
      2.00    0.743   0.0257  -0.1402
      2.50    0.795   0.0263  -0.1405
      3.00    0.844   0.0271  -0.1405
      3.50    0.898   0.0277  -0.1409
      4.00    0.959   0.0281  -0.1422
      4.50    1.012   0.0290  -0.1426
      5.00    1.049   0.0303  -0.1404
      5.50    1.099   0.0309  -0.1394
      6.00    1.145   0.0316  -0.1379
      6.50    1.182   0.0325  -0.1349
      7.00    1.210   0.0335  -0.1306
      7.50    1.237   0.0345  -0.1261
      8.00    1.251   0.0365  -0.1207
      8.50    1.272   0.0377  -0.1150
      9.00    1.271   0.0411  -0.1086
     10.00    1.256   0.0512  -0.1000
     10.50    1.253   0.0572  -0.0979
     11.00    1.254   0.0631  -0.0964
     11.50    1.255   0.0692  -0.0954
     12.00    1.254   0.0756  -0.0946
     12.50    1.258   0.0816  -0.0937
     13.00    1.255   0.0888  -0.0939
     13.50    1.257   0.0957  -0.0948
     14.00    1.251   0.1039  -0.0967
     14.50    1.250   0.1116  -0.0979
     15.00    1.245   0.1205  -0.1004
     15.50    1.232   0.1317  -0.1052
     16.00    1.209   0.1462  -0.1132
     16.50    1.173   0.1673  -0.1256
     17.00    1.136   0.1932  -0.1392
     17.50    1.121   0.2128  -0.1482
     18.00    1.125   0.2230  -0.1531
     18.50    1.123   0.2369  -0.1594
     19.00    1.117   0.2548  -0.1665
     19.50    1.117   0.2696  -0.1716
     20.00    1.118   0.2836  -0.1761
     30.00    0.994   0.4602  -0.2518
     40.00    0.925   0.6755  -0.3023
     50.00    0.828   0.9025  -0.3464
     60.00    0.680   1.1124  -0.3858
     70.00    0.481   1.2782  -0.4196
     80.00    0.247   1.3780  -0.4459
     90.00    0.000   1.3980  -0.4630
    100.00   -0.173   1.3780  -0.4777
    110.00   -0.337   1.2782  -0.4766
    120.00   -0.476   1.1124  -0.4632
    130.00   -0.580   0.9025  -0.4430
    140.00   -0.647   0.6755  -0.4248
    150.00   -0.696   0.4602  -0.4241
    160.00   -0.782   0.2836  -0.4842
    170.00   -0.391   0.1680  -0.5000
    180.00    0.000   0.1278   0.0000
     0.1000   Re               ! Reynolds number in millions
   -180.00    0.000   0.1207   0.0000
   -170.00    0.400   0.1611   0.4000
   -160.00    0.799   0.2770  -0.0879
   -150.00    0.706   0.4541  -0.0250
   -140.00    0.653   0.6701   0.0237
   -130.00    0.583   0.8980   0.0728
   -120.00    0.478   1.1089   0.1218
   -110.00    0.338   1.2758   0.1664
   -100.00    0.173   1.3768   0.2017
    -90.00    0.000   1.3980   0.2229
    -80.00   -0.173   1.3768   0.2381
    -70.00   -0.338   1.2758   0.2376
    -60.00   -0.478   1.1089   0.2247
    -50.00   -0.583   0.8980   0.2054
    -40.00   -0.653   0.6701   0.1887
    -30.00   -0.706   0.4541   0.1908
    -20.00   -0.799   0.2770   0.2577
    -10.00   -0.365   0.1054  -0.0459
     -9.50   -0.364   0.0957  -0.0512
     -9.00   -0.358   0.0825  -0.0623
     -8.50   -0.366   0.0676  -0.0767
     -8.00   -0.383   0.0561  -0.0879
     -7.50   -0.369   0.0455  -0.1001
     -7.00   -0.322   0.0367  -0.1088
     -6.50   -0.273   0.0309  -0.1119
     -6.00   -0.208   0.0271  -0.1152
     -5.50   -0.153   0.0242  -0.1157
     -5.00   -0.083   0.0222  -0.1195
     -4.50   -0.004   0.0199  -0.1262
     -4.00    0.086   0.0179  -0.1358
     -3.50    0.168   0.0167  -0.1429
     -3.00    0.235   0.0170  -0.1448
     -2.50    0.297   0.0171  -0.1459
     -2.00    0.361   0.0169  -0.1479
     -1.50    0.427   0.0167  -0.1502
     -1.00    0.486   0.0167  -0.1515
     -0.50    0.548   0.0167  -0.1530
      0.00    0.609   0.0168  -0.1543
      0.50    0.667   0.0169  -0.1553
      1.00    0.725   0.0171  -0.1563
      1.50    0.783   0.0173  -0.1570
      2.00    0.841   0.0176  -0.1576
      2.50    0.896   0.0179  -0.1580
      3.00    0.951   0.0182  -0.1582
      3.50    1.006   0.0186  -0.1584
      4.00    1.062   0.0191  -0.1587
      4.50    1.114   0.0195  -0.1584
      5.00    1.162   0.0199  -0.1571
      5.50    1.210   0.0204  -0.1556
      6.00    1.253   0.0209  -0.1534
      6.50    1.293   0.0216  -0.1506
      7.00    1.319   0.0230  -0.1455
      7.50    1.330   0.0254  -0.1385
      8.00    1.339   0.0280  -0.1318
      8.50    1.350   0.0307  -0.1261
      9.50    1.369   0.0369  -0.1159
     10.00    1.381   0.0402  -0.1119
     10.50    1.386   0.0442  -0.1079
     11.00    1.390   0.0483  -0.1043
     11.50    1.387   0.0529  -0.1005
     12.00    1.392   0.0581  -0.0985
     12.50    1.392   0.0640  -0.0970
     13.00    1.382   0.0712  -0.0960
     13.50    1.386   0.0770  -0.0957
     14.00    1.382   0.0844  -0.0960
     14.50    1.371   0.0929  -0.0973
     15.00    1.354   0.1028  -0.0998
     15.50    1.336   0.1133  -0.1031
     16.00    1.321   0.1239  -0.1075
     16.50    1.302   0.1356  -0.1135
     17.00    1.279   0.1497  -0.1218
     17.50    1.250   0.1673  -0.1325
     18.00    1.217   0.1888  -0.1447
     18.50    1.181   0.2149  -0.1575
     19.00    1.156   0.2401  -0.1676
     19.50    1.146   0.2600  -0.1745
     20.00    1.142   0.2770  -0.1800
     30.00    1.008   0.4541  -0.2599
     40.00    0.933   0.6701  -0.3115
     50.00    0.833   0.8980  -0.3561
     60.00    0.683   1.1089  -0.3961
     70.00    0.483   1.2758  -0.4307
     80.00    0.247   1.3768  -0.4580
     90.00    0.000   1.3980  -0.4761
    100.00   -0.173   1.3768  -0.4912
    110.00   -0.338   1.2758  -0.4907
    120.00   -0.478   1.1089  -0.4779
    130.00   -0.583   0.8980  -0.4586
    140.00   -0.653   0.6701  -0.4419
    150.00   -0.706   0.4541  -0.4440
    160.00   -0.799   0.2770  -0.5109
    170.00   -0.400   0.1611  -0.5000
    180.00    0.000   0.1207   0.0000
     0.1500   Re               ! Reynolds number in millions
   -180.00    0.000   0.1129   0.0000
   -170.00    0.406   0.1534   0.4000
   -160.00    0.813   0.2697  -0.1040
   -150.00    0.713   0.4473  -0.0386
   -140.00    0.658   0.6641   0.0107
   -130.00    0.586   0.8930   0.0601
   -120.00    0.479   1.1050   0.1094
   -110.00    0.339   1.2731   0.1548
   -100.00    0.173   1.3755   0.1909
    -90.00    0.000   1.3980   0.2131
    -80.00   -0.173   1.3755   0.2286
    -70.00   -0.339   1.2731   0.2285
    -60.00   -0.479   1.1050   0.2162
    -50.00   -0.586   0.8930   0.1976
    -40.00   -0.658   0.6641   0.1821
    -30.00   -0.713   0.4473   0.1866
    -20.00   -0.813   0.2697   0.2594
    -10.00   -0.334   0.0990  -0.0572
     -9.50   -0.328   0.0876  -0.0656
     -9.00   -0.331   0.0718  -0.0793
     -8.00   -0.372   0.0478  -0.1010
     -7.00   -0.300   0.0307  -0.1151
     -6.50   -0.234   0.0252  -0.1200
     -6.00   -0.172   0.0218  -0.1224
     -5.50   -0.092   0.0193  -0.1283
     -5.00   -0.012   0.0172  -0.1353
     -4.50    0.075   0.0156  -0.1432
     -4.00    0.152   0.0144  -0.1492
     -3.50    0.229   0.0132  -0.1557
     -3.00    0.289   0.0135  -0.1562
     -2.50    0.350   0.0137  -0.1575
     -2.00    0.409   0.0136  -0.1584
     -1.50    0.468   0.0136  -0.1591
     -1.00    0.525   0.0137  -0.1597
     -0.50    0.583   0.0138  -0.1603
      0.00    0.640   0.0140  -0.1608
      0.50    0.697   0.0141  -0.1614
      1.00    0.754   0.0143  -0.1620
      1.50    0.811   0.0145  -0.1625
      2.00    0.867   0.0147  -0.1628
      2.50    0.923   0.0150  -0.1632
      3.00    0.978   0.0154  -0.1634
      3.50    1.033   0.0156  -0.1635
      4.00    1.086   0.0159  -0.1632
      4.50    1.137   0.0164  -0.1623
      5.00    1.187   0.0167  -0.1614
      5.50    1.234   0.0172  -0.1599
      6.00    1.277   0.0179  -0.1578
      6.50    1.303   0.0195  -0.1527
      7.00    1.323   0.0216  -0.1471
      7.50    1.339   0.0236  -0.1411
      8.00    1.359   0.0257  -0.1358
      8.50    1.376   0.0280  -0.1307
      9.00    1.394   0.0304  -0.1260
      9.50    1.407   0.0332  -0.1212
     10.00    1.419   0.0363  -0.1169
     10.50    1.432   0.0396  -0.1132
     11.00    1.442   0.0433  -0.1097
     11.50    1.446   0.0478  -0.1065
     12.00    1.450   0.0524  -0.1037
     12.50    1.449   0.0572  -0.1008
     13.00    1.446   0.0634  -0.0994
     13.50    1.438   0.0705  -0.0983
     14.00    1.433   0.0775  -0.0979
     14.50    1.425   0.0854  -0.0983
     15.00    1.417   0.0936  -0.0995
     15.50    1.409   0.1019  -0.1015
     16.00    1.397   0.1115  -0.1049
     16.50    1.380   0.1224  -0.1096
     17.00    1.359   0.1346  -0.1159
     17.50    1.334   0.1482  -0.1240
     18.00    1.307   0.1642  -0.1337
     18.50    1.276   0.1831  -0.1447
     19.00    1.239   0.2069  -0.1571
     19.50    1.166   0.2534  -0.1752
     20.00    1.161   0.2697  -0.1811
     30.00    1.019   0.4473  -0.2649
     40.00    0.940   0.6641  -0.3176
     50.00    0.837   0.8930  -0.3627
     60.00    0.685   1.1050  -0.4033
     70.00    0.484   1.2731  -0.4385
     80.00    0.247   1.3755  -0.4667
     90.00    0.000   1.3980  -0.4859
    100.00   -0.173   1.3755  -0.5014
    110.00   -0.339   1.2731  -0.5013
    120.00   -0.479   1.1050  -0.4889
    130.00   -0.586   0.8930  -0.4703
    140.00   -0.658   0.6641  -0.4548
    150.00   -0.713   0.4473  -0.4593
    160.00   -0.813   0.2697  -0.5321
    170.00   -0.406   0.1534  -0.5000
    180.00    0.000   0.1129   0.0000
     0.2000   Re               ! Reynolds number in millions
   -180.00    0.000   0.0901   0.0000
   -170.00    0.421   0.1309   0.4000
   -160.00    0.843   0.2482  -0.1187
   -150.00    0.731   0.4276  -0.0500
   -140.00    0.668   0.6467  -0.0005
   -130.00    0.592   0.8783   0.0488
   -120.00    0.483   1.0936   0.0986
   -110.00    0.340   1.2653   0.1448
   -100.00    0.174   1.3715   0.1825
    -90.00    0.000   1.3980   0.2065
    -80.00   -0.174   1.3715   0.2219
    -70.00   -0.340   1.2653   0.2217
    -60.00   -0.483   1.0936   0.2096
    -50.00   -0.592   0.8783   0.1918
    -40.00   -0.668   0.6467   0.1783
    -30.00   -0.731   0.4276   0.1871
    -20.00   -0.843   0.2482   0.2709
    -10.00   -0.341   0.0849  -0.0699
     -9.50   -0.370   0.0626  -0.0874
     -9.00   -0.401   0.0501  -0.0966
     -8.00   -0.383   0.0347  -0.1118
     -7.50   -0.335   0.0308  -0.1161
     -7.00   -0.273   0.0256  -0.1215
     -6.50   -0.205   0.0215  -0.1259
     -6.00   -0.125   0.0183  -0.1320
     -5.50   -0.042   0.0162  -0.1394
     -5.00    0.042   0.0147  -0.1467
     -4.50    0.114   0.0136  -0.1515
     -4.00    0.182   0.0128  -0.1555
     -3.50    0.252   0.0116  -0.1604
     -3.00    0.310   0.0118  -0.1608
     -2.50    0.367   0.0120  -0.1610
     -2.00    0.424   0.0121  -0.1616
     -1.50    0.482   0.0122  -0.1622
     -1.00    0.539   0.0123  -0.1627
     -0.50    0.596   0.0124  -0.1631
      0.00    0.653   0.0124  -0.1637
      0.50    0.710   0.0126  -0.1642
      1.00    0.766   0.0128  -0.1646
      1.50    0.822   0.0130  -0.1649
      2.00    0.878   0.0133  -0.1652
      2.50    0.935   0.0135  -0.1656
      3.00    0.990   0.0137  -0.1658
      3.50    1.045   0.0140  -0.1657
      4.00    1.096   0.0144  -0.1651
      4.50    1.148   0.0146  -0.1645
      5.00    1.196   0.0151  -0.1633
      5.50    1.242   0.0157  -0.1617
      6.00    1.274   0.0170  -0.1576
      6.50    1.300   0.0189  -0.1529
      7.00    1.324   0.0208  -0.1479
      7.50    1.347   0.0225  -0.1430
      8.00    1.371   0.0244  -0.1384
      8.50    1.393   0.0264  -0.1337
      9.00    1.411   0.0287  -0.1290
     10.00    1.446   0.0338  -0.1205
     10.50    1.460   0.0369  -0.1167
     11.50    1.478   0.0446  -0.1099
     12.50    1.482   0.0548  -0.1047
     13.00    1.481   0.0595  -0.1018
     13.50    1.483   0.0652  -0.1007
     14.00    1.479   0.0718  -0.1001
     14.50    1.467   0.0800  -0.1001
     15.00    1.450   0.0893  -0.1010
     15.50    1.440   0.0981  -0.1027
     16.00    1.426   0.1077  -0.1054
     16.50    1.411   0.1178  -0.1091
     17.00    1.393   0.1288  -0.1139
     17.50    1.373   0.1409  -0.1206
     18.00    1.348   0.1548  -0.1290
     18.50    1.320   0.1714  -0.1390
     19.00    1.286   0.1920  -0.1509
     19.50    1.244   0.2183  -0.1642
     20.00    1.204   0.2482  -0.1768
     30.00    1.044   0.4276  -0.2659
     40.00    0.955   0.6467  -0.3193
     50.00    0.846   0.8783  -0.3646
     60.00    0.690   1.0936  -0.4057
     70.00    0.486   1.2653  -0.4419
     80.00    0.248   1.3715  -0.4716
     90.00    0.000   1.3980  -0.4925
    100.00   -0.174   1.3715  -0.5079
    110.00   -0.340   1.2653  -0.5078
    120.00   -0.483   1.0936  -0.4957
    130.00   -0.592   0.8783  -0.4779
    140.00   -0.668   0.6467  -0.4644
    150.00   -0.731   0.4276  -0.4732
    160.00   -0.843   0.2482  -0.5570
    170.00   -0.421   0.1309  -0.5000
    180.00    0.000   0.0901   0.0000
     0.2500   Re               ! Reynolds number in millions
   -180.00    0.000   0.0690   0.0000
   -170.00    0.438   0.1101   0.4000
   -160.00    0.876   0.2284  -0.1322
   -150.00    0.750   0.4092  -0.0597
   -140.00    0.680   0.6305  -0.0098
   -130.00    0.599   0.8647   0.0395
   -120.00    0.486   1.0830   0.0896
   -110.00    0.342   1.2581   0.1367
   -100.00    0.174   1.3678   0.1758
    -90.00    0.000   1.3980   0.2015
    -80.00   -0.174   1.3678   0.2169
    -70.00   -0.342   1.2581   0.2168
    -60.00   -0.486   1.0830   0.2050
    -50.00   -0.599   0.8647   0.1883
    -40.00   -0.680   0.6305   0.1771
    -30.00   -0.750   0.4092   0.1907
    -20.00   -0.876   0.2284   0.2869
    -10.00   -0.317   0.0805  -0.0771
     -9.50   -0.335   0.0630  -0.0896
     -9.00   -0.364   0.0499  -0.1002
     -8.50   -0.384   0.0412  -0.1063
